keyword,slug,cluster,search_intent,target_page,related_pages,suggested_title,priority,status,published_date,notes
how to budget for pet food,how-to-budget-for-pet-food,food_cost,Commercial,calculators/food-cost.html,calculators/dog-calorie.html|calculators/cat-calorie.html|calculators/dog-breed-calorie.html,How to Budget for Pet Food,Medium,pending,,
cost of feeding a large breed dog,cost-of-feeding-a-large-breed-dog,food_cost,Commercial,calculators/food-cost.html,calculators/dog-calorie.html|calculators/cat-calorie.html|calculators/dog-breed-calorie.html,Cost of Feeding a Large Breed Dog,Medium,pending,,
cost of feeding a cat per year,cost-of-feeding-a-cat-per-year,food_cost,Commercial,calculators/food-cost.html,calculators/dog-calorie.html|calculators/cat-calorie.html|calculators/dog-breed-calorie.html,Cost of Feeding a Cat per Year,Medium,pending,,
aquarium calculator tank size,aquarium-calculator-tank-size,aquarium,Informational,calculators/aquarium-calculator.html,calculators/food-cost.html,Aquarium Calculator: What Tank Size Do You Need?,Low,pending,,
how many fish per gallon calculator,how-many-fish-per-gallon-calculator,aquarium,Informational,calculators/aquarium-calculator.html,calculators/food-cost.html,How Many Fish per Gallon: The Calculator Rule,Low,pending,,
aquarium gallon to liter converter,aquarium-gallon-to-liter-converter,aquarium,Informational,calculators/aquarium-calculator.html,calculators/food-cost.html,Aquarium Gallon to Liter Converter,Low,pending,,
tank stocking calculator,tank-stocking-calculator,aquarium,Informational,calculators/aquarium-calculator.html,calculators/food-cost.html,Tank Stocking Calculator: Avoid Overcrowding,Low,pending,,
aquarium substrate calculator,aquarium-substrate-calculator,aquarium,Informational,calculators/aquarium-calculator.html,calculators/food-cost.html,Aquarium Substrate Calculator: How Much Gravel,Low,pending,,
heater size calculator for aquarium,heater-size-calculator-for-aquarium,aquarium,Informational,calculators/aquarium-calculator.html,calculators/food-cost.html,Heater Size Calculator for Your Aquarium,Low,pending,,
aquarium filter flow rate calculator,aquarium-filter-flow-rate-calculator,aquarium,Informational,calculators/aquarium-calculator.html,calculators/food-cost.html,Aquarium Filter Flow Rate Calculator,Low,pending,,
cycling a new aquarium guide,cycling-a-new-aquarium-guide,aquarium,Informational,calculators/aquarium-calculator.html,calculators/food-cost.html,Cycling a New Aquarium: Step-by-Step,Low,pending,,
how many neon tetras per gallon,how-many-neon-tetras-per-gallon,aquarium,Informational,calculators/aquarium-calculator.html,calculators/food-cost.html,How Many Neon Tetras per Gallon?,Low,pending,,
plankton to fish tank math,plankton-to-fish-tank-math,aquarium,Informational,calculators/aquarium-calculator.html,calculators/food-cost.html,Planted Tank Substrate Calculator,Low,pending,,
dog breed calorie needs comparison,dog-breed-calorie-needs-comparison,breed_care,Informational,calculators/dog-breed-calorie.html,calculators/dog-life.html|calculators/dog-calorie.html|calculators/pet-bmi.html,Dog Breed Calorie Needs: A Comparison,Medium,pending,,
full grown weight by dog breed,full-grown-weight-by-dog-breed,breed_care,Informational,calculators/dog-breed-calorie.html,calculators/dog-life.html|calculators/dog-calorie.html|calculators/pet-bmi.html,Full-Grown Weight by Dog Breed: Calculator-Backed,Medium,pending,,
best dog food for large breeds,best-dog-food-for-large-breeds,breed_care,Informational,calculators/dog-breed-calorie.html,calculators/dog-life.html|calculators/dog-calorie.html|calculators/pet-bmi.html,Best Dog Food for Large Breeds (Calorie-Smart),Medium,pending,,
best dog food for small breeds,best-dog-food-for-small-breeds,breed_care,Informational,calculators/dog-breed-calorie.html,calculators/dog-life.html|calculators/dog-calorie.html|calculators/pet-bmi.html,Best Dog Food for Small Breeds,Medium,pending,,
dog breed exercise needs calculator,dog-breed-exercise-needs-calculator,breed_care,Informational,calculators/dog-breed-calorie.html,calculators/dog-life.html|calculators/dog-calorie.html|calculators/pet-bmi.html,Dog Breed Exercise Needs: Calculator and Guide,Medium,pending,,
hypoallergenic dog breeds list,hypoallergenic-dog-breeds-list,breed_care,Informational,calculators/dog-breed-calorie.html,calculators/dog-life.html|calculators/dog-calorie.html|calculators/pet-bmi.html,Hypoallergenic Dog Breeds: What the Term Really Means,Medium,pending,,
best family dog breeds,best-family-dog-breeds,breed_care,Informational,calculators/dog-breed-calorie.html,calculators/dog-life.html|calculators/dog-calorie.html|calculators/pet-bmi.html,Best Family Dog Breeds: Temperament and Care,Medium,pending,,
calm dog breeds for apartments,calm-dog-breeds-for-apartments,breed_care,Informational,calculators/dog-breed-calorie.html,calculators/dog-life.html|calculators/dog-calorie.html|calculators/pet-bmi.html,Calm Dog Breeds for Apartments,Medium,pending,,
high energy dog breeds exercise,high-energy-dog-breeds-exercise,breed_care,Informational,calculators/dog-breed-calorie.html,calculators/dog-life.html|calculators/dog-calorie.html|calculators/pet-bmi.html,High-Energy Dog Breeds and Their Exercise Needs,Medium,pending,,
dog breed lifespan comparison,dog-breed-lifespan-comparison,breed_care,Informational,calculators/dog-breed-calorie.html,calculators/dog-life.html|calculators/dog-calorie.html|calculators/pet-bmi.html,Dog Breed Lifespan Comparison,Medium,pending,,
macadamia nuts toxic to dogs,macadamia-nuts-toxic-to-dogs,other_toxin,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|calculators/onion-toxicity.html,Are Macadamia Nuts Toxic to Dogs?,High,pending,,
alcohol poisoning in dogs,alcohol-poisoning-in-dogs,other_toxin,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|calculators/onion-toxicity.html,Alcohol Poisoning in Dogs: What to Do,High,pending,,
caffeine toxicity in dogs,caffeine-toxicity-in-dogs,other_toxin,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|calculators/onion-toxicity.html,"Caffeine Toxicity in Dogs: Coffee, Tea, and Energy Drinks",High,pending,,
avocado toxicity in dogs and cats,avocado-toxicity-in-dogs-and-cats,other_toxin,Informational,calculators/onion-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|calculators/onion-toxicity.html,Is Avocado Toxic to Pets?,High,pending,,
garlic powder danger for dogs,garlic-powder-danger-for-dogs,other_toxin,Informational,calculators/onion-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|calculators/onion-toxicity.html,Garlic Powder Danger for Dogs,High,pending,,
raw bread dough danger dogs,raw-bread-dough-danger-dogs,other_toxin,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|calculators/onion-toxicity.html,Why Raw Bread Dough Is Dangerous for Dogs,High,pending,,
cherries toxic to dogs,cherries-toxic-to-dogs,other_toxin,Informational,calculators/grape-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|calculators/onion-toxicity.html,Are Cherries Toxic to Dogs?,High,pending,,
peach pits toxic to dogs,peach-pits-toxic-to-dogs,other_toxin,Informational,calculators/grape-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|calculators/onion-toxicity.html,Are Peach Pits Toxic to Dogs?,High,pending,,
rhubarb toxicity in dogs,rhubarb-toxicity-in-dogs,other_toxin,Informational,calculators/onion-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|calculators/onion-toxicity.html,Is Rhubarb Toxic to Dogs?,High,pending,,
hops toxicity in dogs,hops-toxicity-in-dogs,other_toxin,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|calculators/onion-toxicity.html,Hops Toxicity in Dogs: Home-Brew Hazard,High,pending,,
marijuana toxicity in dogs,marijuana-toxicity-in-dogs,other_toxin,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|calculators/onion-toxicity.html,Marijuana Toxicity in Dogs,High,pending,,
yeast dough bloat dogs,yeast-dough-bloat-dogs,other_toxin,Informational,calculators/chocolate-toxicity.html,calculators/grape-toxicity.html|calculators/xylitol-toxicity.html|calculators/onion-toxicity.html,Yeast Dough and Bloat in Dogs,High,pending,,
is peanut butter safe for dogs,is-peanut-butter-safe-for-dogs,general,Informational,calculators/xylitol-toxicity.html,calculators/dog-calorie.html|calculators/chocolate-toxicity.html,Is Peanut Butter Safe for Dogs? (Check for Xylitol),Low,pending,,
human foods toxic to dogs list,human-foods-toxic-to-dogs-list,general,Informational,calculators/chocolate-toxicity.html,calculators/dog-calorie.html|calculators/chocolate-toxicity.html,Human Foods Toxic to Dogs: The Full List,Low,pending,,
how long can a dog go without water,how-long-can-a-dog-go-without-water,general,Informational,calculators/dog-water.html,calculators/dog-calorie.html|calculators/chocolate-toxicity.html,How Long Can a Dog Go Without Water?,Low,pending,,
how long can a cat go without water,how-long-can-a-cat-go-without-water,general,Informational,calculators/cat-water.html,calculators/dog-calorie.html|calculators/chocolate-toxicity.html,How Long Can a Cat Go Without Water?,Low,pending,,
best way to brush a dog's teeth,best-way-to-brush-a-dog-s-teeth,general,Informational,calculators/pet-insurance.html,calculators/dog-calorie.html|calculators/chocolate-toxicity.html,Best Way to Brush a Dog's Teeth,Low,pending,,
how to introduce a new dog to a cat,how-to-introduce-a-new-dog-to-a-cat,general,Informational,calculators/cat-life.html,calculators/dog-calorie.html|calculators/chocolate-toxicity.html,How to Introduce a New Dog to a Cat,Low,pending,,
dog zoomies explained,dog-zoomies-explained,general,Informational,calculators/dog-age.html,calculators/dog-calorie.html|calculators/chocolate-toxicity.html,Dog Zoomies Explained,Low,pending,,
why does my cat knead,why-does-my-cat-knead,general,Informational,calculators/cat-age.html,calculators/dog-calorie.html|calculators/chocolate-toxicity.html,Why Does My Cat Knead? (And Other Quirks),Low,pending,,
pet proofing your home checklist,pet-proofing-your-home-checklist,general,Informational,index.html,calculators/dog-calorie.html|calculators/chocolate-toxicity.html,Pet-Proofing Your Home: A Checklist,Low,pending,,
how to choose a vet,how-to-choose-a-vet,general,Informational,calculators/pet-insurance.html,calculators/dog-calorie.html|calculators/chocolate-toxicity.html,How to Choose a Vet for Your Pet,Low,pending,,
